Date,SKU,Product Name,Category,Units Sold,Unit Cost,Unit Price,Inventory On Hand,Revenue,COGS,Gross Margin %,Discount,Net Profit
2025-05-25,SKU-SEA-095,Pasta 16oz,Seafood,30,3.91,7.61,148,228.24,117.29,48.61,10.80,100.15
2025-02-05,SKU-PAN-081,Chicken Breast (lb),Pantry,12,5.71,11.12,182,133.47,68.53,48.65,3.52,61.41
2025-12-09,SKU-MET-106,Ground Beef 1lb,Meat,3,13.70,28.65,78,85.94,41.11,52.17,3.96,40.88
2025-06-08,SKU-BEV-070,Rice 5lb,Beverages,17,13.52,24.27,11,412.60,229.83,44.30,66.65,116.12
2025-04-17,SKU-BEV-097,Sourdough Bread,Beverages,14,4.50,8.36,185,117.08,62.95,46.24,6.27,47.87
2025-06-08,SKU-BAK-047,Soda 12oz 6pk,Bakery,4,1.05,1.85,55,7.41,4.21,43.16,1.00,2.20
2025-10-24,SKU-BAK-031,Eggs 12ct,Bakery,6,14.61,24.68,181,148.08,87.64,40.81,4.07,56.37
2025-05-11,SKU-FRZ-105,Soda 12oz 6pk,Frozen,21,9.61,18.19,181,381.91,201.84,47.15,37.32,142.75
2025-12-19,SKU-SEA-055,Dish Soap 24oz,Seafood,1,16.54,21.17,63,21.17,16.54,21.87,1.93,2.70
2025-05-15,SKU-PAN-106,Sourdough Bread,Pantry,30,1.32,2.41,174,72.34,39.59,45.27,5.62,27.13
2025-02-10,SKU-HOU-009,Potato Chips 8oz,Household,19,1.85,3.10,86,58.92,35.18,40.30,3.17,20.58
2025-07-10,SKU-SNK-032,Whole Milk 1gal,Snacks,18,8.08,12.21,120,219.72,145.47,33.79,25.32,48.93
2025-02-18,SKU-HOU-097,Frozen Pizza,Household,7,8.09,14.32,145,100.27,56.60,43.55,0.09,43.58
2025-12-04,SKU-DRY-069,Laundry Detergent 64oz,Dairy,15,16.66,21.22,208,318.32,249.90,21.49,43.37,25.04
2025-10-10,SKU-SEA-023,Orange Juice 1L,Seafood,17,12.07,17.95,30,305.23,205.26,32.75,29.53,70.44
2025-01-17,SKU-HOU-094,Eggs 12ct,Household,11,14.06,18.54,30,203.92,154.62,24.18,8.61,40.69
2025-11-28,SKU-FRZ-055,Potato Chips 8oz,Frozen,12,9.02,13.06,146,156.67,108.28,30.89,18.30,30.09
2025-04-15,SKU-PAN-029,Pasta 16oz,Pantry,28,3.07,5.45,132,152.49,85.99,43.61,13.45,53.05
2025-12-20,SKU-DRY-020,Rice 5lb,Dairy,13,10.52,17.83,103,231.73,136.70,41.01,14.98,80.05
2025-06-08,SKU-DRY-040,Greek Yogurt 4pk,Dairy,28,3.92,8.22,160,230.17,109.69,52.34,20.96,99.52
2025-08-20,SKU-PAN-086,Chicken Breast (lb),Pantry,26,12.48,24.53,187,637.82,324.47,49.13,52.33,261.02
2025-10-10,SKU-SEA-082,Olive Oil 1L,Seafood,4,17.15,29.36,122,117.45,68.60,41.59,14.40,34.44
2025-01-12,SKU-BAK-007,Greek Yogurt 4pk,Bakery,8,17.12,29.09,29,232.74,136.99,41.14,18.34,77.41
2025-04-13,SKU-DRY-006,Dish Soap 24oz,Dairy,14,6.97,14.22,199,199.09,97.53,51.02,6.73,94.84
2025-03-28,SKU-MET-109,Rice 5lb,Meat,28,14.98,30.16,140,844.42,419.31,50.34,72.75,352.36
2025-05-21,SKU-PAN-035,Paper Towels 6ct,Pantry,30,14.72,28.89,136,866.78,441.51,49.06,139.91,285.36
2025-06-06,SKU-HOU-065,Paper Towels 6ct,Household,1,7.11,10.97,35,10.97,7.11,35.20,0.60,3.27
2025-07-22,SKU-FRZ-003,Eggs 12ct,Frozen,3,12.35,18.64,152,55.91,37.04,33.76,6.94,11.93
2025-12-03,SKU-MET-080,Potato Chips 8oz,Meat,16,16.91,28.85,30,461.60,270.64,41.37,21.73,169.23
2025-12-15,SKU-PRD-025,Potato Chips 8oz,Produce,29,3.29,5.59,85,162.04,95.49,41.07,24.63,41.92
2025-03-28,SKU-PRD-015,Sourdough Bread,Produce,25,5.65,8.17,134,204.34,141.16,30.92,11.79,51.39
2025-07-21,SKU-BEV-046,Eggs 12ct,Beverages,2,10.71,21.54,209,43.09,21.42,50.28,7.72,13.94
2025-03-24,SKU-PAN-083,Frozen Pizza,Pantry,15,7.55,13.76,34,206.37,113.22,45.14,27.50,65.65
2025-05-08,SKU-HOU-025,Olive Oil 1L,Household,4,5.57,8.32,5,33.29,22.29,33.04,0.63,10.37
2025-09-11,SKU-SEA-041,Paper Towels 6ct,Seafood,2,2.79,5.57,136,11.13,5.57,49.97,1.08,4.49
2025-07-26,SKU-SNK-045,Chicken Breast (lb),Snacks,13,15.75,30.47,36,396.09,204.73,48.31,38.66,152.70
2025-10-09,SKU-DRY-044,Ground Beef 1lb,Dairy,16,5.43,9.58,102,153.27,86.81,43.36,0.65,65.81
2025-02-23,SKU-MET-068,Granola Bars 12ct,Meat,27,16.00,26.17,220,706.46,432.06,38.84,80.17,194.23
2025-02-02,SKU-SNK-043,Chicken Breast (lb),Snacks,25,8.09,13.52,160,337.91,202.27,40.14,39.22,96.41
2025-11-24,SKU-PAN-107,Pasta 16oz,Pantry,14,8.35,11.26,16,157.68,116.96,25.82,12.82,27.90
2025-01-25,SKU-PRD-116,Frozen Pizza,Produce,23,3.00,4.34,104,99.91,68.90,31.04,13.80,17.20
2025-08-18,SKU-SEA-006,Potato Chips 8oz,Seafood,26,8.02,9.82,217,255.36,208.46,18.37,43.39,3.51
2025-12-13,SKU-MET-093,Greek Yogurt 4pk,Meat,10,7.01,14.00,211,139.95,70.10,49.91,9.21,60.64
2025-10-18,SKU-SNK-076,Potato Chips 8oz,Snacks,14,2.00,2.73,202,38.16,27.97,26.71,3.31,6.88
2025-04-10,SKU-PAN-065,Bananas (lb),Pantry,4,17.12,33.17,159,132.68,68.50,48.38,21.05,43.13
2025-07-30,SKU-SEA-050,Granola Bars 12ct,Seafood,20,6.71,10.77,18,215.40,134.13,37.73,24.47,56.80
2025-06-27,SKU-FRZ-049,Rice 5lb,Frozen,20,3.14,4.58,84,91.56,62.88,31.32,14.58,14.09
2025-08-20,SKU-SNK-021,Sourdough Bread,Snacks,24,1.61,3.13,159,75.08,38.75,48.38,11.74,24.58
2025-10-12,SKU-BEV-117,Potato Chips 8oz,Beverages,19,4.29,5.88,196,111.67,81.43,27.08,8.22,22.02
2025-11-08,SKU-MET-018,Eggs 12ct,Meat,7,16.56,22.56,103,157.93,115.90,26.62,20.95,21.08
2025-07-19,SKU-DRY-066,Whole Milk 1gal,Dairy,10,4.71,7.65,191,76.48,47.11,38.41,2.87,26.51
2025-09-18,SKU-DRY-012,Frozen Pizza,Dairy,1,4.07,5.98,119,5.98,4.07,32.00,0.31,1.61
2025-05-06,SKU-FRZ-037,Apples (3lb bag),Frozen,25,14.79,28.28,76,707.12,369.87,47.69,33.79,303.46
2025-09-09,SKU-PAN-111,Granola Bars 12ct,Pantry,11,6.03,8.34,88,91.76,66.34,27.70,13.30,12.12
2025-09-06,SKU-PAN-008,Sourdough Bread,Pantry,9,13.05,27.19,69,244.69,117.44,52.00,43.31,83.94
2025-07-11,SKU-PRD-028,Apples (3lb bag),Produce,2,6.83,10.85,73,21.69,13.65,37.06,0.85,7.19
2025-06-15,SKU-PRD-075,Soda 12oz 6pk,Produce,13,1.09,1.70,83,22.04,14.16,35.74,0.89,6.98
2025-02-18,SKU-HOU-021,Greek Yogurt 4pk,Household,1,17.64,23.06,171,23.06,17.64,23.50,4.05,1.37
2025-03-11,SKU-HOU-104,Paper Towels 6ct,Household,21,10.81,19.87,217,417.35,227.11,45.58,27.34,162.90
2025-04-30,SKU-SEA-073,Pasta 16oz,Seafood,28,5.44,8.04,128,225.06,152.46,32.26,19.04,53.56
2025-03-30,SKU-SNK-009,Paper Towels 6ct,Snacks,26,13.82,18.54,216,482.14,359.30,25.48,68.78,54.06
2025-01-26,SKU-BAK-052,Laundry Detergent 64oz,Bakery,3,9.08,15.81,36,47.43,27.25,42.55,5.02,15.16
2025-03-13,SKU-DRY-005,Salmon Fillet (lb),Dairy,8,3.97,6.86,128,54.89,31.72,42.21,2.20,20.97
2025-01-29,SKU-HOU-081,Apples (3lb bag),Household,15,3.47,6.19,146,92.82,52.01,43.97,11.53,29.29
2025-11-14,SKU-FRZ-109,Soda 12oz 6pk,Frozen,21,5.29,7.92,50,166.27,111.04,33.22,23.12,32.11
2025-04-28,SKU-HOU-008,Chicken Breast (lb),Household,2,10.92,19.49,14,38.98,21.84,43.97,5.40,11.74
2025-07-05,SKU-DRY-035,Pasta 16oz,Dairy,1,17.71,28.47,135,28.47,17.71,37.80,3.25,7.51
2025-10-24,SKU-BEV-020,Olive Oil 1L,Beverages,8,13.70,23.00,45,184.03,109.58,40.46,25.38,49.07
2025-09-04,SKU-BEV-033,Greek Yogurt 4pk,Beverages,17,3.81,5.93,127,100.76,64.72,35.77,13.68,22.36
2025-10-16,SKU-SNK-033,Bananas (lb),Snacks,18,5.76,8.56,61,154.14,103.61,32.78,26.47,24.06
2025-12-02,SKU-SNK-120,Greek Yogurt 4pk,Snacks,30,8.42,16.77,66,503.04,252.70,49.77,53.06,197.28
2025-12-28,SKU-DRY-056,Frozen Pizza,Dairy,6,6.42,11.40,207,68.40,38.50,43.71,12.29,17.60
2025-02-22,SKU-PAN-111,Orange Juice 1L,Pantry,25,6.15,12.67,27,316.70,153.67,51.48,0.71,162.33
2025-04-01,SKU-DRY-117,Sourdough Bread,Dairy,20,12.87,16.85,122,336.97,257.41,23.61,16.86,62.71
2025-07-06,SKU-PRD-052,Bananas (lb),Produce,4,15.03,28.61,145,114.44,60.10,47.48,13.15,41.19
2025-05-28,SKU-HOU-104,Bananas (lb),Household,6,7.60,14.67,44,88.00,45.60,48.19,14.54,27.86
2025-08-23,SKU-PAN-057,Potato Chips 8oz,Pantry,3,3.02,5.82,187,17.45,9.06,48.06,0.18,8.21
2025-11-21,SKU-HOU-089,Olive Oil 1L,Household,22,7.49,15.60,63,343.31,164.72,52.02,10.14,168.45
2025-10-30,SKU-HOU-084,Soda 12oz 6pk,Household,23,8.08,15.14,50,348.25,185.84,46.64,38.93,123.48
2025-09-10,SKU-PAN-090,Granola Bars 12ct,Pantry,7,12.14,20.03,110,140.20,85.01,39.36,2.03,53.16
2025-07-19,SKU-PRD-063,Rice 5lb,Produce,21,6.25,13.02,54,273.34,131.21,52.00,4.44,137.69
2025-02-17,SKU-SNK-015,Eggs 12ct,Snacks,4,2.33,3.69,28,14.75,9.33,36.74,0.51,4.91
2025-07-02,SKU-MET-085,Dish Soap 24oz,Meat,18,15.24,19.53,141,351.57,274.40,21.95,46.00,31.18
2025-01-02,SKU-PRD-076,Greek Yogurt 4pk,Produce,3,12.67,19.84,211,59.51,38.00,36.14,9.88,11.63
2025-08-26,SKU-HOU-039,Pasta 16oz,Household,20,2.76,5.41,26,108.14,55.26,48.91,14.22,38.67
2025-03-07,SKU-PAN-003,Rice 5lb,Pantry,26,14.31,29.14,90,757.65,372.06,50.89,75.02,310.57
2025-09-07,SKU-PAN-042,Bananas (lb),Pantry,14,11.00,13.93,166,194.98,153.96,21.04,32.05,8.97
2025-07-09,SKU-PRD-010,Olive Oil 1L,Produce,19,9.79,13.33,119,253.27,186.06,26.54,13.75,53.46
2025-05-14,SKU-PAN-109,Granola Bars 12ct,Pantry,24,9.33,12.96,39,311.11,223.89,28.04,46.96,40.26
2025-11-10,SKU-BEV-026,Orange Juice 1L,Beverages,14,17.89,36.69,27,513.64,250.51,51.23,7.75,255.38
2025-05-18,SKU-HOU-071,Frozen Pizza,Household,29,16.56,34.39,144,997.31,480.31,51.84,83.85,433.16
2025-05-30,SKU-FRZ-047,Laundry Detergent 64oz,Frozen,19,2.31,3.56,79,67.64,43.94,35.05,4.04,19.67
2025-05-05,SKU-SEA-009,Ground Beef 1lb,Seafood,5,15.69,29.79,82,148.93,78.45,47.32,18.42,52.06
2025-07-19,SKU-BEV-063,Chicken Breast (lb),Beverages,15,14.42,18.14,43,272.04,216.36,20.47,32.49,23.20
2025-11-16,SKU-PRD-006,Orange Juice 1L,Produce,11,11.94,23.35,177,256.84,131.30,48.88,30.96,94.59
2025-07-24,SKU-BAK-054,Chicken Breast (lb),Bakery,17,13.75,17.37,30,295.30,233.76,20.84,16.11,45.43
2025-04-03,SKU-DRY-011,Rice 5lb,Dairy,17,17.30,21.96,39,373.28,294.09,21.21,1.23,77.96
2025-10-24,SKU-SNK-034,Ground Beef 1lb,Snacks,6,8.53,17.83,83,106.99,51.19,52.15,0.01,55.79
2025-04-22,SKU-FRZ-040,Frozen Pizza,Frozen,15,17.03,23.40,63,351.01,255.41,27.24,57.27,38.34
2025-02-05,SKU-PAN-095,Pasta 16oz,Pantry,20,5.70,9.31,31,186.23,114.07,38.75,31.65,40.50
2025-10-30,SKU-FRZ-062,Pasta 16oz,Frozen,11,8.51,10.59,88,116.48,93.60,19.64,7.49,15.39
2025-04-11,SKU-PAN-003,Greek Yogurt 4pk,Pantry,22,1.64,2.13,214,46.81,36.17,22.74,0.96,9.68
2025-04-12,SKU-BAK-050,Olive Oil 1L,Bakery,5,6.96,12.65,35,63.27,34.81,44.98,6.14,22.32
2025-04-26,SKU-PRD-090,Granola Bars 12ct,Produce,6,9.79,16.09,180,96.57,58.76,39.16,2.00,35.81
2025-05-10,SKU-PRD-090,Whole Milk 1gal,Produce,19,9.21,16.82,118,319.60,174.90,45.28,22.10,122.60
2025-12-10,SKU-HOU-006,Ground Beef 1lb,Household,12,17.88,35.27,82,423.19,214.52,49.31,45.93,162.74
2025-06-18,SKU-FRZ-002,Eggs 12ct,Frozen,7,6.95,10.82,41,75.72,48.65,35.75,2.10,24.97
2025-07-06,SKU-SEA-042,Sourdough Bread,Seafood,25,9.95,19.19,137,479.75,248.71,48.16,18.49,212.55
2025-10-07,SKU-SEA-025,Apples (3lb bag),Seafood,1,17.44,27.20,151,27.20,17.44,35.90,3.03,6.73
2025-10-02,SKU-FRZ-087,Salmon Fillet (lb),Frozen,14,1.19,2.08,74,29.15,16.61,43.00,2.93,9.61
2025-12-13,SKU-PAN-091,Orange Juice 1L,Pantry,27,0.84,1.71,193,46.29,22.81,50.73,4.05,19.44
2025-11-01,SKU-BAK-065,Frozen Pizza,Bakery,9,3.92,5.86,134,52.72,35.32,33.01,8.47,8.94
2025-05-24,SKU-SNK-080,Whole Milk 1gal,Snacks,9,13.87,27.80,58,250.17,124.85,50.10,7.99,117.34
2025-06-26,SKU-SNK-051,Dish Soap 24oz,Snacks,22,5.76,11.03,128,242.65,126.80,47.74,21.45,94.39
2025-05-10,SKU-HOU-035,Salmon Fillet (lb),Household,7,1.02,1.41,140,9.85,7.15,27.35,0.29,2.40
2025-11-23,SKU-BEV-094,Olive Oil 1L,Beverages,13,10.95,18.55,205,241.09,142.35,40.95,27.91,70.83
2025-09-29,SKU-BEV-037,Paper Towels 6ct,Beverages,10,2.68,3.56,179,35.61,26.80,24.73,5.74,3.07
2025-11-06,SKU-PRD-091,Ground Beef 1lb,Produce,2,16.72,21.23,190,42.46,33.43,21.27,7.54,1.49
2025-07-19,SKU-BEV-041,Pasta 16oz,Beverages,9,7.58,15.67,156,141.07,68.18,51.67,21.88,51.01
2025-06-01,SKU-BAK-028,Olive Oil 1L,Bakery,1,8.30,15.62,188,15.62,8.30,46.85,0.22,7.10
2025-08-18,SKU-BAK-104,Soda 12oz 6pk,Bakery,10,10.53,20.89,201,208.89,105.27,49.60,9.00,94.62
2025-09-12,SKU-HOU-120,Ground Beef 1lb,Household,1,4.17,7.95,146,7.95,4.17,47.51,0.91,2.87
2025-11-06,SKU-BEV-092,Laundry Detergent 64oz,Beverages,4,14.01,17.84,39,71.36,56.06,21.44,1.78,13.52
2025-06-20,SKU-SEA-044,Granola Bars 12ct,Seafood,30,15.55,22.63,32,679.00,466.64,31.27,32.65,179.71
2025-08-10,SKU-PRD-062,Paper Towels 6ct,Produce,30,10.24,17.00,62,509.88,307.16,39.76,54.68,148.03
2025-01-13,SKU-DRY-087,Pasta 16oz,Dairy,5,8.31,11.18,25,55.92,41.53,25.74,9.51,4.89
2025-11-13,SKU-PRD-013,Eggs 12ct,Produce,27,7.54,11.79,16,318.38,203.49,36.09,3.20,111.70
2025-11-08,SKU-HOU-028,Laundry Detergent 64oz,Household,10,8.52,16.57,168,165.71,85.21,48.58,22.42,58.07
2025-05-25,SKU-PAN-062,Potato Chips 8oz,Pantry,26,14.34,24.33,47,632.57,372.76,41.07,26.77,233.04
2025-04-08,SKU-DRY-101,Salmon Fillet (lb),Dairy,3,5.77,7.81,32,23.44,17.30,26.23,2.09,4.06
2025-07-23,SKU-BEV-065,Apples (3lb bag),Beverages,23,9.23,16.76,131,385.54,212.21,44.96,56.08,117.26
2025-09-07,SKU-MET-024,Soda 12oz 6pk,Meat,14,8.42,17.22,183,241.13,117.86,51.12,24.55,98.73
2025-10-02,SKU-BAK-080,Apples (3lb bag),Bakery,13,17.17,21.10,32,274.31,223.22,18.63,18.25,32.84
2025-07-22,SKU-DRY-008,Olive Oil 1L,Dairy,10,5.83,7.96,161,79.62,58.30,26.77,1.67,19.65
2025-12-03,SKU-BAK-061,Frozen Pizza,Bakery,18,11.05,15.44,47,278.01,198.84,28.48,9.83,69.33
2025-04-03,SKU-PRD-077,Frozen Pizza,Produce,19,15.89,24.98,31,474.61,301.84,36.40,72.64,100.13
2025-02-06,SKU-PRD-106,Whole Milk 1gal,Produce,13,12.43,23.46,203,305.01,161.64,47.01,44.98,98.39
2025-12-31,SKU-MET-033,Olive Oil 1L,Meat,28,1.23,1.73,155,48.55,34.51,28.91,2.56,11.48
2025-05-10,SKU-FRZ-034,Sourdough Bread,Frozen,2,14.00,20.77,210,41.53,28.00,32.58,1.16,12.38
2025-12-26,SKU-HOU-109,Ground Beef 1lb,Household,15,13.42,18.95,77,284.29,201.23,29.22,38.27,44.79
2025-06-10,SKU-FRZ-011,Olive Oil 1L,Frozen,24,15.61,32.51,210,780.35,374.53,52.00,10.96,394.86
2025-02-03,SKU-BAK-096,Rice 5lb,Bakery,29,15.66,32.36,207,938.49,454.10,51.61,22.44,461.95
2025-06-06,SKU-BAK-116,Salmon Fillet (lb),Bakery,15,15.52,22.95,202,344.24,232.85,32.36,4.09,107.30
2025-04-26,SKU-MET-046,Pasta 16oz,Meat,7,11.25,13.72,191,96.07,78.77,18.01,1.09,16.22
2025-11-04,SKU-DRY-076,Laundry Detergent 64oz,Dairy,10,10.13,13.22,55,132.21,101.31,23.37,14.60,16.29
2025-08-19,SKU-SNK-093,Ground Beef 1lb,Snacks,28,10.54,21.49,165,601.63,295.00,50.97,65.02,241.61
2025-03-22,SKU-PAN-042,Chicken Breast (lb),Pantry,19,16.59,26.18,112,497.50,315.19,36.65,62.08,120.24
2025-06-20,SKU-DRY-101,Whole Milk 1gal,Dairy,12,5.00,8.78,8,105.36,60.05,43.01,18.90,26.41
2025-09-07,SKU-BEV-078,Orange Juice 1L,Beverages,20,2.62,3.15,28,63.03,52.46,16.77,3.24,7.33
2025-10-02,SKU-MET-100,Soda 12oz 6pk,Meat,11,2.79,5.37,104,59.09,30.69,48.06,8.52,19.87
2025-08-18,SKU-PRD-072,Pasta 16oz,Produce,3,13.74,22.91,193,68.74,41.21,40.05,6.87,20.66
2025-11-01,SKU-FRZ-101,Olive Oil 1L,Frozen,27,3.02,4.78,30,128.95,81.66,36.67,5.33,41.95
2025-01-22,SKU-SNK-061,Apples (3lb bag),Snacks,3,15.22,26.43,10,79.29,45.66,42.41,7.56,26.07
2025-12-19,SKU-PRD-034,Soda 12oz 6pk,Produce,9,0.89,1.10,154,9.92,7.98,19.64,1.07,0.87
2025-06-29,SKU-PRD-026,Soda 12oz 6pk,Produce,16,5.17,9.62,191,153.95,82.75,46.25,0.57,70.63
2025-08-25,SKU-MET-017,Whole Milk 1gal,Meat,19,9.74,16.69,219,317.09,185.03,41.65,18.46,113.60
2025-06-27,SKU-SEA-081,Potato Chips 8oz,Seafood,3,7.23,11.25,213,33.74,21.70,35.68,4.31,7.73
2025-12-10,SKU-SNK-090,Frozen Pizza,Snacks,6,2.55,4.68,218,28.06,15.30,45.49,1.03,11.74
2025-10-09,SKU-PAN-086,Chicken Breast (lb),Pantry,9,8.18,10.62,15,95.56,73.63,22.95,16.62,5.30
2025-12-04,SKU-SNK-028,Paper Towels 6ct,Snacks,9,12.06,16.30,155,146.70,108.52,26.03,20.21,17.97
2025-07-23,SKU-SNK-046,Paper Towels 6ct,Snacks,13,2.66,4.59,178,59.72,34.56,42.13,9.83,15.32
2025-04-25,SKU-SNK-079,Eggs 12ct,Snacks,5,13.80,20.03,44,100.16,69.00,31.11,8.90,22.26
2025-05-03,SKU-HOU-037,Soda 12oz 6pk,Household,9,3.01,3.62,8,32.59,27.08,16.90,4.25,1.26
2025-07-28,SKU-FRZ-012,Salmon Fillet (lb),Frozen,22,17.34,31.85,17,700.71,381.48,45.56,35.60,283.62
2025-12-24,SKU-SEA-053,Salmon Fillet (lb),Seafood,27,9.27,16.01,112,432.27,250.16,42.13,26.19,155.92
2025-04-03,SKU-SEA-090,Sourdough Bread,Seafood,11,14.58,18.16,184,199.78,160.42,19.70,29.52,9.84
2025-04-05,SKU-SNK-065,Apples (3lb bag),Snacks,23,2.40,4.42,23,101.65,55.13,45.76,15.05,31.47
2025-01-08,SKU-BEV-037,Chicken Breast (lb),Beverages,2,14.31,19.32,5,38.65,28.62,25.95,4.40,5.62
2025-08-20,SKU-BEV-079,Rice 5lb,Beverages,17,10.34,17.22,190,292.79,175.79,39.96,12.44,104.56
2025-07-29,SKU-MET-103,Frozen Pizza,Meat,16,7.08,12.36,78,197.79,113.22,42.76,21.37,63.20
2025-09-30,SKU-BAK-032,Dish Soap 24oz,Bakery,10,4.55,7.47,116,74.66,45.47,39.09,4.76,24.42
2025-01-20,SKU-SEA-048,Pasta 16oz,Seafood,6,7.05,11.87,33,71.25,42.27,40.67,3.86,25.11
2025-10-14,SKU-SNK-103,Paper Towels 6ct,Snacks,28,11.63,23.68,32,663.13,325.60,50.90,89.33,248.20
2025-06-23,SKU-HOU-064,Chicken Breast (lb),Household,27,12.95,20.03,51,540.85,349.64,35.35,59.13,132.09
2025-05-17,SKU-FRZ-118,Laundry Detergent 64oz,Frozen,21,7.32,10.15,193,213.23,153.73,27.91,0.03,59.47
2025-05-27,SKU-SEA-077,Orange Juice 1L,Seafood,6,12.58,24.52,33,147.15,75.49,48.70,9.90,61.76
2025-06-16,SKU-PRD-011,Ground Beef 1lb,Produce,5,5.60,10.93,117,54.66,28.02,48.73,6.02,20.61
2025-02-18,SKU-SNK-079,Laundry Detergent 64oz,Snacks,25,13.49,23.15,84,578.71,337.13,41.74,9.43,232.15
2025-05-15,SKU-SEA-102,Frozen Pizza,Seafood,3,13.73,20.88,212,62.63,41.18,34.26,1.12,20.34
2025-06-09,SKU-SEA-057,Pasta 16oz,Seafood,19,13.41,27.63,215,525.00,254.79,51.47,20.08,250.13
2025-12-01,SKU-PRD-066,Bananas (lb),Produce,16,6.45,12.36,143,197.79,103.18,47.83,25.51,69.10
2025-02-24,SKU-BEV-058,Laundry Detergent 64oz,Beverages,22,11.71,19.31,22,424.75,257.59,39.35,56.18,110.98
2025-11-02,SKU-BAK-031,Rice 5lb,Bakery,28,10.48,14.54,122,407.00,293.56,27.87,52.80,60.64
2025-02-13,SKU-MET-053,Granola Bars 12ct,Meat,25,14.21,24.07,170,601.69,355.17,40.97,23.18,223.35
2025-05-22,SKU-DRY-028,Paper Towels 6ct,Dairy,3,3.90,7.31,25,21.94,11.69,46.73,2.60,7.66
2025-01-11,SKU-PRD-013,Pasta 16oz,Produce,9,10.02,17.22,33,155.02,90.18,41.83,7.26,57.58
2025-10-01,SKU-SEA-084,Sourdough Bread,Seafood,26,15.42,20.81,209,541.08,400.94,25.90,39.28,100.87
2025-01-22,SKU-BAK-117,Apples (3lb bag),Bakery,14,13.06,16.34,29,228.73,182.82,20.07,5.23,40.68
2025-04-07,SKU-DRY-063,Rice 5lb,Dairy,12,5.94,10.47,151,125.69,71.29,43.29,13.80,40.61
2025-12-23,SKU-HOU-044,Chicken Breast (lb),Household,29,13.23,19.51,102,565.85,383.66,32.20,20.61,161.58
2025-11-24,SKU-PAN-033,Frozen Pizza,Pantry,29,6.44,9.30,60,269.59,186.85,30.69,42.81,39.94
2025-08-12,SKU-HOU-066,Salmon Fillet (lb),Household,2,11.48,22.28,66,44.55,22.96,48.47,7.79,13.81
2025-10-27,SKU-SNK-105,Soda 12oz 6pk,Snacks,9,13.46,20.01,67,180.13,121.13,32.76,25.49,33.52
2025-06-03,SKU-BEV-059,Eggs 12ct,Beverages,8,4.16,6.44,208,51.51,33.29,35.37,2.89,15.33
2025-10-26,SKU-MET-089,Olive Oil 1L,Meat,30,1.81,2.74,155,82.17,54.19,34.05,6.24,21.73
2025-05-16,SKU-BAK-086,Chicken Breast (lb),Bakery,7,0.86,1.43,40,10.01,6.03,39.75,1.66,2.32
2025-08-19,SKU-PAN-092,Orange Juice 1L,Pantry,5,4.94,8.24,142,41.20,24.72,40.01,2.08,14.41
2025-03-24,SKU-PRD-080,Orange Juice 1L,Produce,5,13.88,24.89,111,124.44,69.42,44.21,13.53,41.48
2025-02-08,SKU-SNK-046,Dish Soap 24oz,Snacks,17,16.14,22.46,125,381.75,274.42,28.12,53.56,53.77
2025-05-05,SKU-BAK-009,Rice 5lb,Bakery,17,11.90,17.51,148,297.64,202.28,32.04,31.29,64.07
2025-03-22,SKU-SNK-077,Potato Chips 8oz,Snacks,3,0.99,2.02,79,6.07,2.97,51.02,0.04,3.06
2025-11-02,SKU-SNK-033,Laundry Detergent 64oz,Snacks,14,4.82,6.13,20,85.80,67.54,21.28,8.70,9.55
2025-10-31,SKU-BEV-040,Olive Oil 1L,Beverages,24,5.01,7.54,2,180.87,120.24,33.52,7.01,53.62
2025-09-10,SKU-PAN-043,Laundry Detergent 64oz,Pantry,9,9.42,14.48,47,130.36,84.78,34.97,4.71,40.87
2025-01-12,SKU-PRD-026,Soda 12oz 6pk,Produce,18,13.35,20.48,112,368.58,240.34,34.79,64.93,63.31
2025-12-21,SKU-SEA-102,Eggs 12ct,Seafood,24,6.03,9.90,80,237.57,144.77,39.06,1.07,91.72
2025-06-29,SKU-BAK-111,Frozen Pizza,Bakery,6,8.73,12.49,145,74.93,52.36,30.13,1.13,21.44
2025-12-14,SKU-SNK-070,Salmon Fillet (lb),Snacks,18,4.21,8.69,5,156.50,75.83,51.54,1.02,79.65
2025-10-09,SKU-BEV-041,Orange Juice 1L,Beverages,25,6.75,14.16,19,353.94,168.83,52.30,26.42,158.69
2025-08-30,SKU-BEV-058,Laundry Detergent 64oz,Beverages,19,11.13,23.35,167,443.59,211.52,52.32,27.78,204.29
2025-03-20,SKU-PRD-080,Olive Oil 1L,Produce,8,6.55,12.43,195,99.46,52.41,47.30,5.66,41.39
2025-01-31,SKU-SEA-108,Paper Towels 6ct,Seafood,19,17.24,27.21,10,517.06,327.61,36.64,75.74,113.71
2025-10-25,SKU-BEV-104,Whole Milk 1gal,Beverages,30,7.98,15.32,132,459.68,239.42,47.92,8.26,212.00
2025-04-15,SKU-SEA-092,Rice 5lb,Seafood,2,2.56,3.08,82,6.16,5.13,16.76,0.20,0.83
2025-01-15,SKU-MET-047,Paper Towels 6ct,Meat,1,16.91,31.97,28,31.97,16.91,47.12,0.14,14.92
2025-04-16,SKU-SNK-056,Dish Soap 24oz,Snacks,26,10.40,13.93,3,362.14,270.38,25.34,20.55,71.21
2025-05-02,SKU-BAK-009,Chicken Breast (lb),Bakery,1,11.03,17.28,5,17.28,11.03,36.15,0.05,6.20
